"","x","locf_rmse","mean_rmse","linear_rmse","kalman_rmse"
"1",10,5.6531271584003,13.8999328181527,4.60849375003248,4.58847352959815
"2",20,7.87231672488813,19.0390106731086,6.40064923034395,6.23268801762287
"3",30,9.85457897605379,23.5648628929611,8.1226617625897,7.81929627143564
"4",40,11.7303967771084,27.2304181716203,9.53225254783534,9.14566104333596
"5",50,13.7230575974342,30.7937073309736,11.0424016018522,10.6157638533147
"6",60,15.8206744685752,33.6333454043329,12.4496577894361,11.8138005745479
"7",70,17.941741935524,36.473112968445,14.0784478952561,13.4150707652305
