"","x","locf_rmse","mean_rmse","linear_rmse","kalman_rmse"
"1",10,0.257303732966288,0.420604853206121,0.151134475532601,0.165874823450141
"2",20,0.345067225928628,0.591297436933055,0.24723464015512,0.261234551978738
"3",30,0.478319153187223,0.694534366830717,0.295076785756887,0.30324104830723
"4",40,0.58957144054335,0.851814462448878,0.419766753549799,0.444603421394161
"5",50,0.770457543306055,0.957884637446388,0.506594983928719,0.530167454525128
"6",60,0.921680009916535,1.01084147193948,0.624442055820023,0.661435494000388
"7",70,1.05620199205131,1.12002344592782,0.747714558313273,0.863095684403537
